-0.1073234, -0.3862128, -0.7050089, -1.009296
-0.1330264, -0.4804204, -0.8744877, -1.279963
-0.1571472, -0.5646372, -1.028756, -1.508199
-0.1769818, -0.6394858, -1.161128, -1.681774
-0.192623, -0.6984737, -1.25939, -1.928702
-0.2049082, -0.7492709, -1.337955, -2.033096
-0.2128946, -0.7751824, -1.393352, -2.129831
-0.2155826, -0.784014, -1.431563, -2.150554
-0.2138246, -0.7775502, -1.421094, -2.133405
-0.2100953, -0.7568076, -1.392049, -2.059577
-0.1990901, -0.7204626, -1.319396, -1.957054
-0.1849229, -0.6693576, -1.21829, -1.816093
-0.1674231, -0.6040053, -1.083291, -1.626759
-0.1457909, -0.5217906, -0.9377155, -1.43316
-0.1220842, -0.4304436, -0.7749044, -1.137768
-0.09491691, -0.3320535, -0.596784, -0.8765494
-0.06592203, -0.2263673, -0.4100684, -0.6017419
-0.03632585, -0.1199101, -0.2110394, -0.3038596
-0.005743154, -0.00926735, -0.01378892, -0.0144934
0.02516467, 0.1008141, 0.1860313, 0.2679026
0.05509176, 0.2077815, 0.380199, 0.5350569
0.08360616, 0.3077578, 0.5643713, 0.7964807
0.1115511, 0.4012489, 0.7408829, 1.025927
0.1352962, 0.4850227, 0.8935152, 1.243534
0.1572811, 0.5603486, 1.029991, 1.416039
0.1756784, 0.6287355, 1.140843, 1.574346
0.1903527, 0.683203, 1.254588, 1.684503
0.2032478, 0.718735, 1.31223, 1.762398
0.2098731, 0.7384092, 1.34285, 1.829573
0.2101413, 0.7431553, 1.355464, 1.849827
0.2083025, 0.7354876, 1.346242, 1.81924
0.2022959, 0.7082799, 1.296411, 1.768282
0.1914119, 0.669744, 1.219706, 1.652178
0.176229, 0.6187474, 1.123333, 1.517879
0.1568317, 0.5514715, 1.012802, 1.365494
0.1353493, 0.4753031, 0.8657836, 1.174642
0.1114797, 0.3854491, 0.7023613, 0.9622205
0.08362953, 0.2927763, 0.5259491, 0.7256632
0.05605761, 0.1889478, 0.3442884, 0.4739704
0.02648385, 0.08485775, 0.1533438, 0.209462
-0.003433978, -0.02095927, -0.04216776, -0.06248303
-0.03361691, -0.128928, -0.237232, -0.3325292
-0.06246801, -0.2321221, -0.4280533, -0.610072
-0.09113795, -0.3288242, -0.6088465, -0.8811706
-0.1174741, -0.4221652, -0.7759342, -1.123125
-0.1401638, -0.5029413, -0.9242083, -1.373558
-0.1602416, -0.5758225, -1.060351, -1.556208
-0.1771942, -0.6416211, -1.177639, -1.735245
-0.1913957, -0.6919294, -1.262052, -1.939727
-0.2001374, -0.7278953, -1.328025, -2.039706
-0.2054946, -0.7427355, -1.369846, -2.039815
-0.2060092, -0.7452388, -1.366614, -2.03214
-0.2023716, -0.7318472, -1.342057, -2.022793
-0.19569, -0.7016078, -1.285565, -1.965128
-0.1838537, -0.6550348, -1.205545, -1.814188
